angle_class,FeatureIds
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
4,12
0,8
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,8
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,8
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,8
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
4,12
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,8
0,8
0,8
0,8
0,8
4,12
4,12
4,12
0,5
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,5
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,5
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,5
0,8
0,8
0,8
4,12
4,12
4,12
0,5
0,5
0,5
0,8
0,8
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,8
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
4,12
0,8
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,8
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,8
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,8
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
4,12
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,8
0,8
0,8
0,8
0,8
4,12
4,12
4,12
0,5
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,5
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,5
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,5
0,8
0,8
0,8
4,12
4,12
4,12
0,5
0,5
0,5
0,8
0,8
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,8
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
4,12
0,8
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,8
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,8
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
4,12
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,8
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,8
0,8
0,8
0,8
0,8
4,12
4,12
4,12
0,5
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,8
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,5
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,5
0,8
0,8
0,8
0,8
4,12
4,12
0,5
0,5
0,5
0,8
0,8
0,8
4,12
4,12
4,12
0,5
0,5
0,5
0,8
0,8
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,8
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
4,12
4,12
4,12
0,5
0,5
0,5
0,5
0,5
0,5
0,5
4,12
